"Writable file handle closed without error handling","Errors which occur when closing a writable file handle may result in data loss if the data could not be successfully flushed. Such errors should be handled explicitly.","warning","File handle may be writable as a result of data flow from a [[""call to OpenFile""|""relative:///internal/logging/logging.go:29:13:29:78""]] and closing it may result in data loss upon failure, which is not handled explicitly.","/internal/cli/acp.go","49","10","49","15"
"Writable file handle closed without error handling","Errors which occur when closing a writable file handle may result in data loss if the data could not be successfully flushed. Such errors should be handled explicitly.","warning","File handle may be writable as a result of data flow from a [[""call to OpenFile""|""relative:///internal/logging/logging.go:29:13:29:78""]] and closing it may result in data loss upon failure, which is not handled explicitly.","/internal/cli/chat.go","127","10","127","18"
"Writable file handle closed without error handling","Errors which occur when closing a writable file handle may result in data loss if the data could not be successfully flushed. Such errors should be handled explicitly.","warning","File handle may be writable as a result of data flow from a [[""call to OpenFile""|""relative:///internal/logging/logging.go:29:13:29:78""]] and closing it may result in data loss upon failure, which is not handled explicitly.","/internal/cli/mcpserve.go","57","10","57","15"
"Writable file handle closed without error handling","Errors which occur when closing a writable file handle may result in data loss if the data could not be successfully flushed. Such errors should be handled explicitly.","warning","File handle may be writable as a result of data flow from a [[""call to OpenFile""|""relative:///internal/logging/logging.go:29:13:29:78""]] and closing it may result in data loss upon failure, which is not handled explicitly.","/internal/cli/root.go","325","3","325","8"
"Writable file handle closed without error handling","Errors which occur when closing a writable file handle may result in data loss if the data could not be successfully flushed. Such errors should be handled explicitly.","warning","File handle may be writable as a result of data flow from a [[""call to OpenFile""|""relative:///internal/logging/logging.go:29:13:29:78""]] and closing it may result in data loss upon failure, which is not handled explicitly.","/internal/cli/root.go","332","9","332","14"
"Writable file handle closed without error handling","Errors which occur when closing a writable file handle may result in data loss if the data could not be successfully flushed. Such errors should be handled explicitly.","warning","File handle may be writable as a result of data flow from a [[""call to OpenFile""|""relative:///internal/logging/logging.go:29:13:29:78""]] and closing it may result in data loss upon failure, which is not handled explicitly.","/internal/cli/serve.go","45","10","45","15"
"Writable file handle closed without error handling","Errors which occur when closing a writable file handle may result in data loss if the data could not be successfully flushed. Such errors should be handled explicitly.","warning","File handle may be writable as a result of data flow from a [[""call to OpenFile""|""relative:///internal/worktree/worktree.go:188:14:188:71""]] and closing it may result in data loss upon failure, which is not handled explicitly.","/internal/worktree/worktree.go","193","3","193","5"
"Useless assignment to local variable","An assignment to a local variable that is not used later on, or whose value is always overwritten, has no effect.","warning","This definition of rest is never used.","/internal/tui/view.go","587","3","587","6"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/agentdef/agentdef.go","126","30","126","32"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/agentdef/agentdef.go","148","27","148","30"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/checkpoint/checkpoint.go","299","23","299","29"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:25:34:25:39""]].
This path depends on a [[""user-provided value""|""relative:///internal/server/debate.go:27:28:27:33""]].","/internal/checkpoint/checkpoint.go","310","27","310","33"
